Region_Code,Timestamp_hr_ending,Wind_Generation_MWh,Solar_Generation_MWh,Hydro_Generation_MWh,Other_Generation_MWh,Petroleum_Generation_MWh,Natural_gas_Generation_MWh,Coal_Generation_MWh,Nuclear_Generation_MWh
PJM,12/4/2023 2 a.m. EST,2695,7,710,1039,226,35586,12387,33750
PJM,12/4/2023 3 a.m. EST,2411,7,716,1040,218,35283,12436,33762
PJM,12/4/2023 4 a.m. EST,2351,7,716,1051,228,35874,12904,33771
PJM,12/4/2023 5 a.m. EST,2467,7,648,1041,229,37298,14019,33773
PJM,12/4/2023 6 a.m. EST,2523,7,1763,1059,228,41655,15090,33777
PJM,12/4/2023 7 a.m. EST,2230,29,2818,1073,219,44710,16660,33769
PJM,12/4/2023 8 a.m. EST,1486,603,2398,1072,266,45068,17422,33768
PJM,12/4/2023 9 a.m. EST,944,1808,1203,1228,356,44862,17605,33772
PJM,12/4/2023 10 a.m. EST,595,2314,1137,1218,396,44208,16985,33776
PJM,12/4/2023 11 a.m. EST,513,2340,684,1148,421,44493,17293,33766
PJM,12/4/2023 12 p.m. EST,474,2437,739,1204,374,44171,17094,33751
PJM,12/4/2023 1 p.m. EST,550,2397,682,1188,277,43782,16417,33750
PJM,12/4/2023 2 p.m. EST,968,1985,708,1238,222,43712,15945,33759
PJM,12/4/2023 3 p.m. EST,1332,1469,893,1091,213,44446,15632,33760
PJM,12/4/2023 4 p.m. EST,1467,282,1561,1031,220,46558,16113,33749
PJM,12/4/2023 5 p.m. EST,1338,52,4532,1048,219,48512,16564,33753
PJM,12/4/2023 6 p.m. EST,1583,54,4571,1059,216,47966,16628,33750
PJM,12/4/2023 7 p.m. EST,1885,11,4083,1071,216,47684,16904,33736
PJM,12/4/2023 8 p.m. EST,1607,10,2986,1053,216,47710,17498,33752
PJM,12/4/2023 9 p.m. EST,1548,7,1140,1042,217,46910,17778,33759
PJM,12/4/2023 10 p.m. EST,1889,7,868,1049,218,42739,16553,33758
PJM,12/4/2023 11 p.m. EST,1982,7,876,1056,212,42027,15837,33774
PJM,12/5/2023 12 a.m. EST,2807,7,784,1018,223,35736,12150,33735
PJM,12/5/2023 1 a.m. EST,2278,7,780,1043,222,39622,14398,33768
PJM,12/5/2023 2 a.m. EST,2244,7,807,1057,223,39168,14011,33758
PJM,12/5/2023 3 a.m. EST,2400,7,818,1050,218,38994,14022,33751
PJM,12/5/2023 4 a.m. EST,2295,7,711,1046,228,40024,14418,33781
PJM,12/5/2023 5 a.m. EST,2285,7,688,1055,227,41128,14576,33772
PJM,12/5/2023 6 a.m. EST,2154,7,3352,1067,233,44406,15375,33765
PJM,12/5/2023 7 a.m. EST,1720,66,3976,1075,275,47660,17213,33771
PJM,12/5/2023 8 a.m. EST,1432,1235,2750,1186,275,48109,17052,33770
PJM,12/5/2023 9 a.m. EST,1050,2397,1565,1291,226,46696,16125,33780
PJM,12/5/2023 10 a.m. EST,1057,2169,995,1264,232,47693,16205,33770
PJM,12/5/2023 11 a.m. EST,1464,2210,1036,1236,277,46816,15942,33758
PJM,12/5/2023 12 p.m. EST,1419,2258,986,1248,273,45916,15448,33772
PJM,12/5/2023 1 p.m. EST,1825,2150,893,1254,246,45130,15366,33766
PJM,12/5/2023 2 p.m. EST,2094,1833,910,1257,267,46577,15884,33762
PJM,12/5/2023 3 p.m. EST,2565,1179,907,1236,210,47238,15943,33764
PJM,12/5/2023 4 p.m. EST,2967,96,1460,1169,266,48193,16060,33767
PJM,12/5/2023 5 p.m. EST,3570,7,3452,1182,260,49770,16864,33749
PJM,12/5/2023 6 p.m. EST,3961,7,3283,1169,257,50179,17468,33772
PJM,12/5/2023 7 p.m. EST,3656,7,2724,1082,215,50248,17370,33772
PJM,12/5/2023 8 p.m. EST,3569,7,2537,1020,217,49182,17202,33788
PJM,12/5/2023 9 p.m. EST,3623,7,1219,1024,220,47931,16892,33784
PJM,12/5/2023 10 p.m. EST,2666,7,1052,1029,224,45644,15830,33778
PJM,12/5/2023 11 p.m. EST,1971,7,812,1026,224,44143,14845,33783
PJM,12/6/2023 12 a.m. EST,2243,8,765,1049,222,39815,15090,33752
PJM,12/6/2023 1 a.m. EST,3074,7,776,1023,227,39696,13451,33775
PJM,12/6/2023 2 a.m. EST,2640,7,801,1025,226,39152,13670,33786
PJM,12/6/2023 3 a.m. EST,1876,7,801,1018,218,39640,13926,33797
PJM,12/6/2023 4 a.m. EST,1971,7,753,1019,229,40363,14116,33796
PJM,12/6/2023 5 a.m. EST,1924,7,888,1005,230,41864,14458,33776
PJM,12/6/2023 6 a.m. EST,2448,7,2737,1015,231,44653,14898,33779
PJM,12/6/2023 7 a.m. EST,2304,14,4646,1010,237,48708,15306,33782
PJM,12/6/2023 8 a.m. EST,2042,252,3847,1002,318,48805,16429,33774
PJM,12/6/2023 9 a.m. EST,1948,888,1790,1010,310,48340,16258,33783
PJM,12/6/2023 10 a.m. EST,2115,1736,1634,1027,308,47938,16125,33768
PJM,12/6/2023 11 a.m. EST,2567,2038,1216,1114,288,46850,15976,33769
PJM,12/6/2023 12 p.m. EST,2747,1858,1065,1066,225,46477,15894,33768
PJM,12/6/2023 1 p.m. EST,3164,1731,1024,1098,222,46258,15553,33754
PJM,12/6/2023 2 p.m. EST,3742,1829,1117,1062,222,45461,14994,33760
PJM,12/6/2023 3 p.m. EST,3945,1168,1140,1053,219,46827,14462,33766
