Region_Code,Timestamp_hr_ending,Wind_Generation_MWh,Solar_Generation_MWh,Hydro_Generation_MWh,Other_Generation_MWh,Petroleum_Generation_MWh,Natural_gas_Generation_MWh,Coal_Generation_MWh,Nuclear_Generation_MWh
PJM,7/4/2023 12 a.m. EDT,1954,5,480,1029,216,44225,15732,32772
PJM,7/4/2023 1 a.m. EDT,1040,5,552,1009,222,43413,14923,32762
PJM,7/4/2023 2 a.m. EDT,812,5,567,1011,222,43013,14208,32770
PJM,7/4/2023 3 a.m. EDT,753,5,613,1018,222,41056,13819,32765
PJM,7/4/2023 4 a.m. EDT,764,5,633,1014,222,39635,13676,32761
PJM,7/4/2023 5 a.m. EDT,814,5,625,1011,226,39197,13652,32773
PJM,7/4/2023 6 a.m. EDT,914,76,560,1027,231,38546,13664,32760
PJM,7/4/2023 7 a.m. EDT,1122,1040,555,1122,230,39256,13628,32780
PJM,7/4/2023 8 a.m. EDT,1276,2324,629,1226,229,42943,13876,32764
PJM,7/4/2023 9 a.m. EDT,1031,3299,740,1376,228,47342,14412,32770
PJM,7/4/2023 10 a.m. EDT,925,3736,742,2335,225,50791,15474,32728
PJM,7/4/2023 11 a.m. EDT,800,3762,1345,2611,230,54612,17129,32707
PJM,7/4/2023 12 p.m. EDT,896,3803,1838,2747,319,57803,18856,32671
PJM,7/4/2023 1 p.m. EDT,1045,3715,1983,3020,332,59818,20060,32638
PJM,7/4/2023 2 p.m. EDT,1059,3613,4375,3152,318,59304,19934,32619
PJM,7/4/2023 3 p.m. EDT,1007,3478,5111,3244,492,60480,20454,32588
PJM,7/4/2023 4 p.m. EDT,904,3442,5394,3055,533,61198,21026,32571
PJM,7/4/2023 5 p.m. EDT,802,2985,5076,2928,628,62230,22593,32566
PJM,7/4/2023 6 p.m. EDT,513,2051,5580,3102,574,61629,22650,32563
PJM,7/4/2023 7 p.m. EDT,577,965,4926,2923,633,60647,22750,32557
PJM,7/4/2023 8 p.m. EDT,430,88,2914,2568,646,59408,22452,32538
PJM,7/4/2023 9 p.m. EDT,715,5,1274,2209,413,58218,21811,32557
PJM,7/4/2023 10 p.m. EDT,913,5,1107,1273,345,55022,21822,32553
PJM,7/4/2023 11 p.m. EDT,1262,5,644,1215,227,51332,22051,32581
PJM,7/5/2023 12 a.m. EDT,921,5,503,1025,223,46817,16785,32745
PJM,7/5/2023 1 a.m. EDT,2186,5,570,1026,229,42942,16586,32637
PJM,7/5/2023 2 a.m. EDT,2206,5,607,1030,226,42535,15250,32670
PJM,7/5/2023 3 a.m. EDT,1927,5,612,1019,228,40366,14751,32690
PJM,7/5/2023 4 a.m. EDT,1575,5,628,1031,230,40143,14524,32710
PJM,7/5/2023 5 a.m. EDT,1595,5,630,1026,236,42131,14642,32726
PJM,7/5/2023 6 a.m. EDT,1442,76,626,1046,236,44304,14908,32727
PJM,7/5/2023 7 a.m. EDT,1416,1021,612,1092,232,47690,15487,32724
PJM,7/5/2023 8 a.m. EDT,753,2462,811,1478,229,50477,17937,32694
PJM,7/5/2023 9 a.m. EDT,597,3228,698,1450,452,54496,19649,32669
PJM,7/5/2023 10 a.m. EDT,550,3675,733,1999,509,58564,21889,32617
PJM,7/5/2023 11 a.m. EDT,622,3674,2326,2180,822,62908,23285,32568
PJM,7/5/2023 12 p.m. EDT,836,3762,3184,2401,1169,66168,25124,32509
PJM,7/5/2023 1 p.m. EDT,1128,3649,4494,2492,1424,67720,25407,32461
PJM,7/5/2023 2 p.m. EDT,1632,3643,4369,2417,1475,68183,26107,32450
PJM,7/5/2023 3 p.m. EDT,1870,3355,5456,2331,1421,68478,25225,32439
PJM,7/5/2023 4 p.m. EDT,1832,2780,5789,2297,1459,69058,24957,32466
PJM,7/5/2023 5 p.m. EDT,2398,2075,5775,2398,1464,69926,24836,32453
PJM,7/5/2023 6 p.m. EDT,2172,1498,5985,2370,1579,69377,25527,32410
PJM,7/5/2023 7 p.m. EDT,2104,882,5669,2267,1581,67795,24993,32420
PJM,7/5/2023 8 p.m. EDT,1368,76,3066,2239,1428,66472,24533,32428
PJM,7/5/2023 9 p.m. EDT,1261,12,1445,2225,1278,66255,24650,32466
PJM,7/5/2023 10 p.m. EDT,569,7,632,1523,690,61823,23398,32472
PJM,7/5/2023 11 p.m. EDT,704,5,629,1306,391,56507,22582,32478
PJM,7/6/2023 12 a.m. EDT,1497,5,591,1031,226,46408,19294,32588
PJM,7/6/2023 1 a.m. EDT,950,5,502,606,228,49156,18381,32525
PJM,7/6/2023 2 a.m. EDT,763,5,473,574,229,47369,16331,32545
PJM,7/6/2023 3 a.m. EDT,578,5,592,583,225,45557,15532,32571
PJM,7/6/2023 4 a.m. EDT,566,5,588,614,230,45300,15144,32596
PJM,7/6/2023 5 a.m. EDT,674,5,680,642,236,46467,15227,32617
PJM,7/6/2023 6 a.m. EDT,759,36,703,651,238,49192,15523,32607
PJM,7/6/2023 7 a.m. EDT,992,654,742,696,234,51698,17491,32630
PJM,7/6/2023 8 a.m. EDT,795,1843,816,816,231,54074,18913,32613
PJM,7/6/2023 9 a.m. EDT,695,2324,931,858,228,58031,20085,32581
PJM,7/6/2023 10 a.m. EDT,692,2570,852,1878,508,62262,21536,32534
PJM,7/6/2023 11 a.m. EDT,809,2903,1444,2059,844,65210,22701,32496
PJM,7/6/2023 12 p.m. EDT,1074,3454,3300,2176,1018,65803,22416,32452
PJM,7/6/2023 1 p.m. EDT,1481,3311,4773,2275,1154,66264,22899,32419
PJM,7/6/2023 2 p.m. EDT,1801,3300,5215,2436,1319,67736,23738,32423
PJM,7/6/2023 3 p.m. EDT,1786,3081,5562,2423,1385,67836,23870,32447
PJM,7/6/2023 4 p.m. EDT,2094,2491,5654,2572,1446,67876,24055,32440
PJM,7/6/2023 5 p.m. EDT,2708,2436,5926,2479,1475,67933,24197,32438
PJM,7/6/2023 6 p.m. EDT,2810,1813,5134,2448,1474,66838,24593,32442
PJM,7/6/2023 7 p.m. EDT,2081,775,4710,2391,1450,65703,24775,32442
PJM,7/6/2023 8 p.m. EDT,1351,89,3015,2337,1029,64985,24552,32466
PJM,7/6/2023 9 p.m. EDT,1275,16,1344,2056,635,63406,24136,32505
PJM,7/6/2023 10 p.m. EDT,1349,16,915,1014,295,58696,23819,32490
PJM,7/6/2023 11 p.m. EDT,1514,16,653,690,222,52991,22784,32530
PJM,7/7/2023 12 a.m. EDT,473,5,504,902,228,51680,21065,32492
PJM,7/7/2023 1 a.m. EDT,1905,16,495,702,220,48125,16560,32585
PJM,7/7/2023 2 a.m. EDT,1878,16,429,700,217,46081,15206,32619
PJM,7/7/2023 3 a.m. EDT,1628,16,487,704,218,45134,14339,32631
PJM,7/7/2023 4 a.m. EDT,1373,16,405,698,223,44508,14392,32642
PJM,7/7/2023 5 a.m. EDT,1283,16,510,701,223,45018,14448,32673
PJM,7/7/2023 6 a.m. EDT,1147,85,546,696,228,47112,15733,32664
PJM,7/7/2023 7 a.m. EDT,1174,1064,615,802,223,49164,16908,32674
PJM,7/7/2023 8 a.m. EDT,909,2398,560,968,318,51106,17166,32679
PJM,7/7/2023 9 a.m. EDT,618,3252,536,1433,461,54141,19303,32660
PJM,7/7/2023 10 a.m. EDT,486,3499,650,2444,526,56010,19449,32651
PJM,7/7/2023 11 a.m. EDT,444,3669,1223,2676,539,59859,20974,32630
PJM,7/7/2023 12 p.m. EDT,313,3743,2302,3055,499,62411,21759,32579
PJM,7/7/2023 1 p.m. EDT,522,3483,4203,3337,501,64531,22323,32552
PJM,7/7/2023 2 p.m. EDT,625,3080,5020,3597,514,65530,22416,32546
PJM,7/7/2023 3 p.m. EDT,800,2723,5640,3493,531,66632,23068,32543
PJM,7/7/2023 4 p.m. EDT,964,2512,5860,3557,577,66812,23995,32530
PJM,7/7/2023 5 p.m. EDT,1282,2012,6011,3576,577,66622,24220,32581
PJM,7/7/2023 6 p.m. EDT,1038,1390,4972,3440,574,65536,24199,32559
PJM,7/7/2023 7 p.m. EDT,732,830,4714,3185,514,62879,22969,32577
PJM,7/7/2023 8 p.m. EDT,591,152,2851,3103,408,61801,22286,32573
PJM,7/7/2023 9 p.m. EDT,494,17,1165,2831,426,60755,22203,32598
PJM,7/7/2023 10 p.m. EDT,348,17,643,1634,213,57051,21746,32146
PJM,7/7/2023 11 p.m. EDT,483,17,772,1245,212,52499,21150,31985
PJM,7/8/2023 12 a.m. EDT,1758,16,638,710,217,49995,19534,32551
PJM,7/8/2023 1 a.m. EDT,818,17,553,926,216,46720,15611,32400
PJM,7/8/2023 2 a.m. EDT,1108,18,553,928,215,44685,14103,32446
PJM,7/8/2023 3 a.m. EDT,1175,18,540,902,215,42968,13029,32488
PJM,7/8/2023 4 a.m. EDT,1299,18,532,910,217,42126,12572,32504
PJM,7/8/2023 5 a.m. EDT,870,18,513,897,221,41658,12524,32521
PJM,7/8/2023 6 a.m. EDT,953,39,555,911,224,42171,12494,32545
PJM,7/8/2023 7 a.m. EDT,1193,920,557,986,218,42950,12589,32569
PJM,7/8/2023 8 a.m. EDT,1299,2305,584,1131,220,45952,12607,32580
PJM,7/8/2023 9 a.m. EDT,1460,2915,522,1333,215,48966,12993,32551
